IC_ZUJ;NAZOV_ZUJ;IC_OKRES;IC_KRAJ;POINT_X;POINT_Y
500011;Nitra;403;4;18.08617914;48.30085421
500020;Aleköince;403;4;17.95602005;48.35557223
500046;B·b;403;4;17.8771949;48.29959377
500062;Beladice;407;4;18.29024297;48.33917832
500071;BranË;403;4;18.14584801;48.21331873
500101;»akajovce;403;4;18.04437642;48.36701151
500127;»aradice;407;4;18.50532718;48.36975326
500135;»eæadice;403;4;18.24064375;48.32285876
500151;»ierne KæaËany;407;4;18.44539138;48.3545889
500160;»if·re;403;4;18.40419371;48.24226227
500194;DolnÈ Obdokovce;403;4;18.21648767;48.30637254
500232;Golianovo;403;4;18.20778594;48.26770909
500241;H·jske;405;4;17.87346558;48.25758831
500267;Z·horie (vojensk˝ obvod);106;1;17.19177648;48.52650389
500283;Hostie;407;4;18.4414929;48.46437705
500305;Hosùovce;407;4;18.34587142;48.44248181
500313;HruboÚovo;403;4;18.02594162;48.44630865
500321;ChoËa;407;4;18.32531241;48.35457154
500348;Zub·k;308;3;18.18306863;49.15580912
500356;Jarok;403;4;17.96073395;48.27128213
500364;JedæovÈ Kostoæany;407;4;18.50472015;48.47841878
500372;Jelenec;403;4;18.21772907;48.39185132
500381;Jelöovce;403;4;18.06255458;48.38457891
500399;Kapince;403;4;17.97356873;48.4501871
500402;Klasov;403;4;18.25844839;48.26768017
500411;KolÌÚany;403;4;18.22172243;48.34928314
500429;Kostoæany pod TrÌbeËom;407;4;18.23331301;48.43060657
500437;Ladice;407;4;18.27117737;48.39219619
500453;Lehota;403;4;17.99050922;48.31369887
500470;L˙Ënica nad éitavou;403;4;18.27328301;48.2119938
500488;Luk·Ëovce;403;4;17.93503044;48.39568623
500500;Machulince;407;4;18.4560003;48.40740943
500518;VeækÈ Chyndice;403;4;18.28728899;48.28560099
500534;MalÈ Z·luûie;403;4;17.99326477;48.43623471
500542;Mankovce;407;4;18.32919759;48.42176265
500551;Martin nad éitavou;407;4;18.35545347;48.39390771
500569;Melek;403;4;18.3321299;48.20241266
500577;MojmÌrovce;403;4;18.06455139;48.20111352
500585;NemËiÚany;407;4;18.44950544;48.30205822
500593;Neverice;407;4;18.27832577;48.36544684
500607;Nevidzany;407;4;18.3784988;48.28292465
500631;Nov· Ves nad éitavou;403;4;18.32381976;48.2853837
500640;NovÈ Sady;403;4;17.96265331;48.42057925
500658;Obyce;407;4;18.49123794;48.43069394
500666;PaÚa;403;4;18.23661281;48.23232662
500674;Podhorany;403;4;18.11847142;48.3726701
500682;Pohranice;403;4;18.17574306;48.32926972
500691;Poæn˝ Kesov;403;4;18.04924267;48.1619628
500704;RiöÚovce;403;4;17.90794763;48.3612463
500712;Rumanov·;403;4;17.87234695;48.33739083
500721;Sk˝cov;407;4;18.42343549;48.50711961
500739;MoËenok;405;4;17.93880633;48.2124684
500747;Lovce;407;4;18.35654392;48.46204871
500747;Sæaûany;407;4;18.32495254;48.38534727
500755;SlepËany;407;4;18.33270742;48.30739356
500780;äurianky;403;4;18.02779042;48.41300997
500798;Tajn·;403;4;18.36750928;48.26173308
500810;Tes·rske MlyÚany;407;4;18.36021451;48.34228544
500828;TopoæËianky;407;4;18.4031298;48.42207551
500836;VelËice;407;4;18.28103681;48.44350329
500844;Veæk· Dolina;403;4;18.01363146;48.17851754
500887;VeækÈ Z·luûie;403;4;17.93941147;48.31192227
500895;Veæk˝ CetÌn;403;4;18.19718897;48.22546144
500909;Vieska nad éitavou;407;4;18.35518985;48.31837591
500917;Vinodol;403;4;18.21473536;48.19015278
500925;Volkovce;407;4;18.44949472;48.3384712
500933;Vr·ble;403;4;18.31135087;48.24257884
500941;V˝Ëapy - Opatovce;403;4;18.07457612;48.41527375
500950;Zbehy;403;4;18.00030785;48.36635276
500968;ZlatÈ Moravce;407;4;18.39853072;48.37554853
500976;Zlatno;407;4;18.31146704;48.4664149
500984;éikava;407;4;18.38083753;48.45446199
500992;éirany;403;4;18.17676187;48.3789388
501018;éitavce;403;4;18.3149417;48.19119385
501026;Kom·rno;401;4;18.10195323;47.78539029
501034;BajË;401;4;18.22680236;47.92890289
501042;Bodza;401;4;17.85203551;47.84785417
501069;Brestovec;401;4;17.81778186;47.86438032
501077;B˙Ë;401;4;18.46913881;47.80832259
501085;»alovec;401;4;17.9672611;47.83591686
501093;»ÌËov;401;4;17.7582773;47.7834828
501107;Dedina Mladeûe;401;4;17.98999296;47.95278238
501115;Sv‰t˝ Peter;401;4;18.21932824;47.83597218
501123;Dulovce;401;4;18.26810616;47.87327928
501140;Hurbanovo;401;4;18.19024089;47.86760078
501158;ChotÌn;401;4;18.22801203;47.81041661
501166;Imeæ;401;4;18.1543836;47.90181075
501174;Iûa;401;4;18.22962401;47.76455142
501182;KameniËn·;401;4;18.00705618;47.84237794
501191;KlÌûska Nem·;401;4;17.83394124;47.75611641
501204;Kol·rovo;401;4;17.97931735;47.90272563
501212;Kravany nad Dunajom;401;4;18.48343583;47.77366246
501221;LipovÈ;401;4;17.87266446;47.8505646
501239;Marcelov·;401;4;18.2595972;47.79191607
501247;Martovce;401;4;18.10931975;47.86397082
501255;MoËa;401;4;18.4085903;47.77296017
501263;Modrany;401;4;18.35626727;47.81083531
501271;MudroÚovo;401;4;18.32604125;47.82433806
501280;Nesvady;401;4;18.10499714;47.92732573
501301;OkoliËn· na Ostrove;401;4;17.92360727;47.81571718
501310;Patince;401;4;18.29188683;47.74372531
501328;Pribeta;401;4;18.31417489;47.90053233
501336;RadvaÚ nad Dunajom;401;4;18.3557533;47.76009804
501344;Sokolce;401;4;17.86274832;47.87720539
501352;ärob·rov·;401;4;18.32235146;47.80538874
501361;TÙÚ;401;4;17.8275228;47.80308139
501379;Tr·vnik;401;4;17.80693219;47.77903262
501387;VeækÈ Kosihy;401;4;17.88306631;47.76734566
501395;B·torove Kosihy;401;4;18.40423864;47.83972496
501409;Vrbov· nad V·hom;401;4;18.05938417;47.85404833
501417;Zemianska OæËa;401;4;17.88406793;47.82909784
