STREET;ZUJ;ID_STREET;POINT_X;POINT_Y
Balk·nska;529494;529494002;17.15205508;48.04740012
Bronzov·;529494;529494003;17.15594042;48.04748977
Domici·nova;529494;529494034;17.15863806;48.04608274
Druidsk·;529494;529494005;17.15601205;48.04836015
Haanova;529460;529460033;17.12357395;48.12348912
Il˝rska;529494;529494010;17.15370948;48.04618065
Kananefatsk·;529494;529494037;17.15853408;48.04621075
Lachova;529460;529460061;17.11809789;48.12355432
LatÈnska;529494;529494015;17.15446492;48.0463583
Padl˝ch hrdinov;529311;529311047;17.21423431;48.12331064
Pri gaötanovej aleji;529494;529494021;17.1581671;48.04692485
Pri pieskovom lome;529494;529494048;17.15983844;48.04770916
Pri Rusoveckom ramene;529494;529494049;17.16065907;48.04840575
Valentini·nova;529494;529494040;17.15930582;48.046522
8. m·ja;529311;529311001;17.21891098;48.12655009
Alûbety Gwerkovej;529460;529460001;17.12740246;48.11948677
¡gosta SıtÈra;529494;529494042;17.14026957;48.06091668
Ach·tov·;529311;529311081;17.21903365;48.11760741
AkvamarÌnov·;529311;529311082;17.21751322;48.11856465
Alad·ra RadnÛtiho;529494;529494046;17.14119369;48.06233312
Ambroseho;529460;529460002;17.11416291;48.11654711
Ametystov·;529311;529311083;17.21640041;48.11774271
Amursk·;529311;529311002;17.21245585;48.12201834
Andrusovova;529460;529460003;17.09918073;48.11639365
Antick·;529494;529494001;17.16162289;48.03946028
Antolsk·;529460;529460004;17.11529179;48.10314019
Attidova;529494;529494031;17.15808947;48.04442233
AurÈliova;529494;529494032;17.15748023;48.04380348
Az˙rov·;529460;529460131;17.12331841;48.08853217
Baûantnicov·;529443;529443034;17.10445317;48.06780827
BelinskÈho;529460;529460005;17.10348041;48.12211523
BeÚadick·;529460;529460006;17.10650807;48.10019275
Betliarska;529460;529460007;17.11643448;48.09954196
BÈûov·;529460;529460132;17.12712731;48.08934741
Bor·gov·;529311;529311007;17.22287626;48.12067775
Brad·Ëova;529460;529460011;17.11380668;48.11431373
BranËsk·;529460;529460012;17.10347926;48.11018089
Bratsk·;529460;529460013;17.0904211;48.11566492
BudatÌnska;529460;529460014;17.10031148;48.10604352
BulÌkova;529460;529460015;17.12932478;48.12614151
Bylinkov·;529443;529443024;17.10861277;48.0655604
BzovÌcka;529460;529460016;17.11865068;48.09678496
CezmÌnov·;529435;529435012;17.194886;48.03118261
CitrÌnov·;529311;529311084;17.21895734;48.11812692
ColnÌcka;529494;529494004;17.14378472;48.05960912
»apajevova;529460;529460017;17.0988363;48.1129436
Dargovsk·;529460;529460020;17.08977728;48.12026984
Dev‰tinov·;529311;529311009;17.21655674;48.12130199
Diamantov·;529443;529443025;17.1199708;48.06995461
Dlh·;529435;529435001;17.19660177;48.03305428
Dnepersk·;529311;529311010;17.21279794;48.1228083
DolichÈnska;529494;529494033;17.15745717;48.04407676
Dolnozemsk· cesta;529460;529460021;17.12790708;48.11145482
Dropia;529460;529460133;17.10470553;48.09370411
Druûobn·;529311;529311011;17.21675708;48.11986929
Dubnick·;529460;529460022;17.09582003;48.12546036
Dudova;529460;529460023;17.11841784;48.11574703
Farm·rska;529311;529311085;17.21881201;48.11998825
Fedinova;529460;529460026;17.1029265;48.11765009
Fialov·;529460;529460134;17.12437347;48.08984383
Figov·;529443;529443026;17.10738661;48.06470168
Fikusov·;529443;529443001;17.11134669;48.06631711
Fiæakovsk·;529460;529460135;17.12301628;48.09595579
Firmova;529494;529494035;17.15684519;48.04367827
Fl·viovsk·;529494;529494006;17.1604656;48.04185384
Frantiöka Schmuckera;529443;529443035;17.12315859;48.06906096
Frantiöka Oswalda;529460;529460136;17.07233679;48.11984711
Furdekova;529460;529460027;17.12067027;48.12275721
Gen. mjr. Antona Petr·ka;529460;529460137;17.0721715;48.11854266
Gercenova;529460;529460028;17.09897699;48.12645531
Gerulatsk·;529494;529494007;17.14850978;48.05504591
Gessayova;529460;529460029;17.11356492;48.12009986
Gettingova;529460;529460030;17.13105551;48.12378608
Gogoæova;529460;529460031;17.09261746;48.12199525
Goralsk·;529460;529460032;17.08989774;48.11868728
Gran·tov·;529311;529311086;17.21862451;48.11859586
Hadri·nova;529494;529494008;17.16345543;48.03778445
H·jov·;529494;529494009;17.13983795;48.05951338
H·lova;529460;529460034;17.10648196;48.12148194
Handlovsk·;529460;529460035;17.09321712;48.12617153
Harmaneck·;529460;529460036;17.09352255;48.12454999
HolÌËska;529460;529460037;17.10470939;48.10852546
HraniËiarska;529435;529435002;17.19883757;48.02986416
Hrob·kova;529460;529460038;17.11693551;48.11721683
Hrob·rska;529460;529460039;17.08850749;48.11826372
HumenskÈ n·mestie;529460;529460040;17.11614452;48.0955109
Hydin·rska;529311;529311021;17.22093931;48.11738668
H˝lia;529460;529460138;17.10126484;48.09302338
Chot·rna;529443;529443003;17.11051613;48.06734604
Iberkov·;529435;529435013;17.19380386;48.03131252
Ibiötekov·;529435;529435014;17.19310786;48.03152289
Iæjuöinova;529460;529460041;17.10296833;48.11210994
Irkutsk·;529494;529494011;17.14750932;48.05634243
Ivana BlaûeviËa;529443;529443004;17.1175257;48.06792881
J·na Dekana;529494;529494036;17.13870555;48.06059022
Janka Kr·æa;529311;529311023;17.21824747;48.1264597
Jankolova;529460;529460042;17.12855145;48.12124805
Jant·rov· cesta;529460;529460043;17.10805238;48.11089474
Jant·rov·;529443;529443005;17.11637827;48.06922283
Jasovsk·;529460;529460045;17.1146842;48.09469788
Jastrabinov·;529311;529311087;17.22274063;48.11941173
Jazern·;529443;529443006;17.1215215;48.06801711
Jegeneösk·;529311;529311075;17.2110441;48.11699227
Jir·skova;529460;529460046;17.10212087;48.1151199
Jonat·nov·;529311;529311025;17.2207109;48.12196088
Jozefa Mikisitsa;529443;529443007;17.11973687;48.0680709
K pasienkom;529435;529435021;17.1957933;48.03454867
KapsiËkov·;529311;529311088;17.22251077;48.12096393
Kaukazsk·;529460;529460049;17.08835832;48.12151664
Keltsk·;529494;529494012;17.1547338;48.04878799
Kol·rov·;529311;529311089;17.21823952;48.1189791
Kolm·;529460;529460053;17.09766882;48.11526692
Konopisk·;529435;529435015;17.19336769;48.03089593
KopËianska;529460;529460054;17.09219257;48.11321512
KÛrejsk·;529494;529494013;17.145584;48.05340031
KoreÚov·;529443;529443037;17.1136942;48.06807347
Kov·csova;529494;529494014;17.14516855;48.0522054
KoûuönÌcka;529443;529443009;17.10746304;48.0657162
KÙstkov·;529443;529443008;17.11541157;48.06259613
Kr·snohorsk·;529460;529460055;17.11429125;48.09837196
Kremnick·;529460;529460057;17.09248979;48.12660273
Krupinsk·;529460;529460058;17.09440488;48.12477831
Kruöp·nov·;529435;529435016;17.19377319;48.0322455
KubÌnska;529460;529460059;17.08936167;48.11956939
KutlÌkova;529460;529460060;17.11829858;48.11164248
Labutia;529460;529460139;17.10154355;48.09397645
Ladislava Batthy·nyho;529443;529443010;17.12193062;48.06880272
Ladislava äefca;529460;529460140;17.07391879;48.11706729
LesnÌcka;529494;529494016;17.1405479;48.05872668
Lieskovsk· cesta;529311;529311033;17.20319825;48.11437897
Lietavsk·;529460;529460064;17.10469615;48.10081555
LigurËekov·;529311;529311090;17.2225266;48.11869099
Longobardsk·;529494;529494017;17.1651403;48.03594195
LÛnyaiova;529494;529494018;17.14933547;48.05022692
Lop·rska;529311;529311077;17.21332438;48.11793765
ºubietovsk·;529460;529460065;17.08987576;48.1265857
ºubovnianska;529460;529460066;17.11605052;48.09842837
ºudmily Kraskovskej;529494;529494041;17.13839699;48.05943023
MaÔarsk·;529494;529494019;17.15001404;48.05376674
M·jov·;529460;529460069;17.13534199;48.1262119
Malachitov·;529311;529311091;17.21695007;48.11944624
Mamateyova;529460;529460070;17.12975645;48.12154469
Mandæov·;529443;529443011;17.1127394;48.06405231
Mari·na KochanskÈho;529460;529460141;17.07246087;48.1163037
Markova;529460;529460073;17.10624216;48.11436744
MedveÔovej;529460;529460074;17.13241712;48.12236534
MÌneösk·;529494;529494043;17.15952581;48.04946807
MlynaroviËova;529460;529460075;17.12144785;48.12588683
Monardov·;529311;529311038;17.22266549;48.12007052
Moruöov·;529443;529443012;17.11677566;48.06678523
Mramorov·;529311;529311039;17.20700708;48.12259253
Mur·nska;529311;529311092;17.21940556;48.11857588
Na hr·dzi;529435;529435003;17.20067736;48.02902697
N·breûn·;529460;529460079;17.08913722;48.11894459
N·mestie republiky;529460;529460202;17.10493307;48.1172607
Novobansk·;529460;529460082;17.09077789;48.12615821
Novosadn·;529435;529435004;17.19449565;48.034615
OËovsk·;529460;529460083;17.09365448;48.12527323
Oleandrov·;529443;529443027;17.10851367;48.06475475
Op·lov·;529443;529443028;17.11907058;48.06954135
Orechov·;529311;529311078;17.20663371;48.12313797
Osijeck·;529443;529443029;17.11023797;48.06281955
OsuskÈho;529460;529460084;17.11471019;48.11882475
OvËiarska;529311;529311046;17.21353067;48.11723862
Ovocn·;529443;529443013;17.11548722;48.064505
Ovsen·;529435;529435011;17.19951664;48.02639618
OvsiötskÈ n·m.;529460;529460085;17.12898005;48.11959921
Pajöt˙nska;529460;529460086;17.10448119;48.11072457
Palmov·;529443;529443014;17.10745729;48.06718377
Pank˙chova;529460;529460087;17.12650293;48.12370189
PanÛnska cesta;529460;529460088;17.09609033;48.1143926
Parceln·;529311;529311048;17.2189572;48.1246822
Pasienkov·;529311;529311049;17.20095766;48.1254867
PerliËkov·;529311;529311050;17.22190765;48.12131659
Petara Pasicha;529443;529443015;17.12086565;48.06841216
Petrûalsk·;529435;529435005;17.19093322;48.02865544
Pave VukoviËa;529443;529443016;17.11877007;48.06762823
PÌlov·;529443;529443017;17.11523684;48.0663792
Plitvick·;529443;529443038;17.11021727;48.06370623
PohraniËnÌkov;529494;529494020;17.14655269;48.05233157
Poûiarnick·;529311;529311055;17.21408482;48.12465343
Pri hr·dzi;529311;529311056;17.21525219;48.11593167
Pri tehelni;529443;529443018;17.12448142;48.06927754
Pri vodnej veûi;529494;529494022;17.15347954;48.04895675
Pri ûrebËÌne;529494;529494044;17.1586693;48.04959495
Prokofievova;529460;529460096;17.10105348;48.11700582
Prokopova;529460;529460097;17.093828;48.12580127
Radoslava Hoöeka;529494;529494038;17.13886585;48.06051514
RakytnÌkov·;529435;529435017;17.19223044;48.03196585
Rastlinn·;529443;529443019;17.11681012;48.06191529
Raûn·;529435;529435006;17.19866998;48.02712683
