"","EST","res","perc_res","dPSQ","Xlok","Garsonka","PocetIzieb","vlast","park_garaz","vytah","rok","podlazie","stav","konstr","vybav","stary_rek","RozlohaIzby","balkon_rozl","lodzia_rozl","terasa_rozl","wp"
"52",1875.63807563303,177.963657028377,10.482790756466,1697.67441860465,"529419025","0","1","osobne","0","1","novy","ine","kompl_rek","panel","na","0",43,0,0,0,1
"57",1586.85668535036,20.8189495013032,1.32940279948081,1566.03773584906,"529338057","0","2","osobne","0","1","uplnenovy","ine","kompl_rek","panel","na","0",26.5,0,0,0,1
"164",2365.17590740476,490.707822298377,26.1785103836818,1874.46808510638,"529320188","0","2","osobne","0","1","uplnenovy","ine","novo","tehla","na","0",23.5,0.208,0,0,1
"225",1525.79822314197,31.8223195275166,2.13004235547087,1493.97590361446,"529460080","0","3","osobne","0","1","sociknovy","ine","ciast_rek","panel","zar_spotr","0",27.67,0,0.039,0,1
"50",1681.16238167779,-36.786336270927,-2.141294200845,1717.94871794872,"529311006","0","1","osobne","0","1","novy","ine","kompl_rek","panel","na","0",39,0,0,0,1
"184",1723.30857099198,93.1715846906145,5.71556780034862,1630.13698630137,"529346","0","2","osobne","0","1","socikstary","ine","pov_stav","tehla","na","0",36.5,0,0,0,1
"64",1977.22895895619,161.844343571572,8.91515451877303,1815.38461538462,"529320152","0","2","osobne","0","1","uplnenovy","ine","kompl_rek","panel","na","0",32.5,0,0,0,1
"389",1358.00003082105,-0.974328153305123,-0.0716958452432072,1358.97435897436,"529320300","1","2","druzst","0","1","uplnenovy","ine","ciast_rek","panel","standard","0",19.5,0,0.154,0,1
"14",2079.29476379877,115.00904951306,5.8550061570285,1964.28571428571,"529460006","1","1","osobne","0","1","sociknovy","ine","ciast_rek","panel","na","0",28,0,0.429,0,1
"194",1592.74906149526,-142.545056151803,-8.21446086298523,1735.29411764706,"529397030","0","3","osobne","0","0","socikstary","ine","ciast_rek","panel","standard","0",22.67,0,0.147,0,1
"239",1182.30418806541,-49.5798699056036,-4.02471885116076,1231.88405797101,"508179","0","3","osobne","0","1","sociknovy","ine","ciast_rek","panel","standard","1",23,0,0.043,0,1
"241",1330.95861642984,80.9586164298428,6.47668931438742,1250,"508217","0","3","osobne","0","0","uplnenovy","ine","novo","panel","na","0",26.67,0,0,0,1
"66",2111.45993970189,24.3830166249645,1.1682854788609,2087.07692307692,"529346136","0","2","osobne","0","1","uplnenovy","ine","kompl_rek","tehla","na","0",32.5,0.073,0.046,0,1
"311",1668.61412079764,-91.3858792023552,-5.19237950013382,1760,"529354091","0","3","osobne","0","1","sociknovy","ine","kompl_rek","panel","standard","1",25,0.013,0,0,1
"81",1867.60025276431,24.7431099071696,1.34264937480765,1842.85714285714,"529460014","0","2","osobne","0","1","novy","ine","novo","tehla","na","0",38.5,0,0.063,0,1
"198",1819.92349035161,-291.187620759498,-13.7930978254499,2111.11111111111,"528595287","0","3","osobne","0","1","uplnenovy","ine","ciast_rek","tehla","na","0",24,0.069,0.042,0,1
"118",1991.60911069311,116.609110693107,6.21915257029902,1875,"529427022","0","2","osobne","0","1","uplnenovy","ine","novo","tehla","zar_spotr","0",28,0.071,0,0,1
"97",2080.9259427982,114.824247882947,5.84019881473611,1966.10169491525,"529346015","0","2","osobne","0","0","novy","ine","kompl_rek","tehla","na","0",29.5,0,0,0,1
