RSUJ2;NAZRSUJ2;RSUJ3;ID_REGION;NAZKRJ = NAZRSUJ3;DISTRICT;LSUJ1;NAZOKS = NAZLSUJ1;LSUJ2;MUNICIPALITY;NAZZUJ = NAZLSUJ2;CADASTRE;NAZUTJ;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
SK01;Bratislavskı kraj;SK010;1;Bratislavskı;101;SK0101;Bratislava I;SK0101528595;528595;Bratislava-Staré Mesto;804096;Staré Mesto;;
